State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000",,,,,,,,,,
CA,Sacramento County,1,1,1,1,"113,388","118,989","56,138","43,457",34.2,35.8,16.9,13.1,"102,522","159,194","113,735","89,581",22.0,34.2,24.5,19.3,"117,470","158,422","233,955","151,880",17.8,23.9,35.4,23.0,"129,270","176,525","275,052","191,641",16.7,22.9,31.2,30.8,"326,712","363,344","762,531","591,148",16.0,17.8,28.9,37.3
CA,San Benito County,1,1,1,1,"5,333","2,372","1,156",671,55.9,24.9,12.1,7.0,"6,015","3,696","2,647","1,471",43.5,26.7,19.1,10.6,"6,915","5,524","6,314","3,152",31.6,25.2,28.8,14.4,"7,876","7,278","10,876","5,371",25.1,23.2,38.9,30.3,"14,912","49,004","88,426","95,457",6.0,19.8,38.5,35.7
CA,San Bernardino County,1,1,1,1,"154,036","117,009","51,751","32,785",43.3,32.9,14.6,9.2,"146,148","180,774","111,533","66,179",29.0,35.8,22.1,13.1,"202,956","222,977","275,833","123,062",24.6,27.0,33.4,14.9,"253,594","246,155","326,943","156,581",25.8,25.0,42.8,17.5,"1,487","3,438","3,325","6,393",10.2,23.5,43.7,22.7
CA,San Diego County,1,1,1,1,"239,165","240,208","113,732","96,174",34.7,34.8,16.5,14.0,"236,104","355,635","257,648","223,845",22.0,33.1,24.0,20.9,"281,660","354,882","527,450","394,090",18.1,22.8,33.9,25.3,"308,849","352,040","588,927","523,511",17.4,19.9,33.7,16.6,"285,309","360,402","293,067","472,045",20.2,25.5,33.5,20.8
CA,San Francisco County,1,1,1,1,"175,382","134,770","72,024","76,655",38.2,29.4,15.7,16.7,"124,793","120,456","98,829","135,263",26.0,25.1,20.6,28.2,"117,834","97,583","132,763","187,835",22.0,18.2,24.8,35.0,"112,065","82,618","133,130","267,992",18.8,13.9,35.6,24.8,"130,839","209,206","267,117","338,611",13.8,22.1,35.8,28.2
CA,San Joaquin County,2,2,2,2,"79,981","45,996","19,622","12,612",50.6,29.1,12.4,8.0,"75,394","64,952","38,215","23,256",37.4,32.2,18.9,11.5,"90,830","74,007","86,517","38,179",31.4,25.6,29.9,13.2,"95,953","84,162","104,989","48,468",28.8,25.2,34.6,17.1,"7,862","8,441","6,761","12,572",22.1,23.7,35.3,19.0
CA,San Luis Obispo County,3,2,2,2,"23,256","18,246","9,888","6,437",40.2,31.6,17.1,11.1,"21,459","30,880","22,631","17,561",23.2,33.4,24.5,19.0,"23,156","34,099","49,848","31,883",16.7,24.5,35.9,22.9,"22,964","34,728","58,997","42,507",14.4,21.8,33.3,15.9,"272,627","330,613","235,779","417,953",21.7,26.3,33.3,18.8
CA,San Mateo County,1,1,1,1,"90,291","112,366","59,725","54,276",28.5,35.5,18.9,17.1,"69,840","119,239","93,507","96,491",18.4,31.5,24.7,25.5,"71,343","95,754","141,125","140,631",15.9,21.3,31.4,31.3,"72,164","85,569","141,275","191,277",14.7,17.5,33.2,29.5,"297,368","396,499","732,946","661,321",14.2,19.0,31.7,35.1
CA,Santa Barbara County,2,2,2,2,"39,195","46,726","26,139","24,419",28.7,34.2,19.2,17.9,"36,823","53,305","42,896","43,428",20.9,30.2,24.3,24.6,"46,156","48,821","74,745","61,625",20.0,21.1,32.3,26.6,"51,220","46,941","75,972","72,596",20.8,19.0,22.3,45.0,"86,302","84,501","342,563","133,971",13.3,13.1,20.7,52.9
CA,Santa Clara County,1,1,1,1,"168,911","172,084","97,306","106,037",31.0,31.6,17.9,19.5,"154,450","217,564","182,887","198,702",20.5,28.9,24.3,26.4,"175,123","183,546","298,572","317,542",18.0,18.8,30.6,32.6,"184,800","176,926","300,793","450,539",16.6,15.9,31.5,14.5,"95,732","112,023","77,523","143,021",22.4,26.2,33.4,18.1
